longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-117.67,34.06,26.0,1592.0,429.0,1182.0,365.0,2.4583,True,False,False,False
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,False,False,False,True
-118.37,34.07,39.0,2309.0,526.0,870.0,546.0,3.1677,False,False,False,False
-118.13,34.1,24.0,4670.0,1185.0,2478.0,1107.0,3.1975,False,False,False,False
-120.42,34.96,31.0,3518.0,608.0,1386.0,572.0,3.6212,False,False,False,False
-121.48,38.55,52.0,2216.0,333.0,714.0,327.0,4.8603,True,False,False,False
-117.92,33.62,35.0,1821.0,335.0,727.0,316.0,6.5842,False,False,False,False
-122.17,37.72,42.0,3008.0,659.0,1817.0,664.0,3.371,False,False,True,False
-119.58,36.11,21.0,2004.0,385.0,1397.0,398.0,2.2169,True,False,False,False
-117.2,32.85,26.0,2298.0,549.0,980.0,555.0,2.4207,False,False,False,True
-118.08,33.9,42.0,1768.0,372.0,1155.0,368.0,3.558,False,False,False,False
-118.49,34.06,42.0,2861.0,360.0,829.0,310.0,15.0001,False,False,False,False
-121.27,37.82,26.0,1170.0,238.0,830.0,216.0,2.6458,True,False,False,False
-118.14,33.86,36.0,1774.0,348.0,934.0,333.0,4.8571,False,False,False,False
-118.39,33.97,38.0,993.0,175.0,374.0,180.0,6.2673,False,False,False,False
-117.17,34.03,33.0,4583.0,648.0,1760.0,638.0,6.3308,True,False,False,False
-117.97,33.72,24.0,2991.0,500.0,1437.0,453.0,5.4286,False,False,False,False
-117.24,34.13,26.0,3774.0,716.0,1913.0,620.0,3.3534,True,False,False,False
-117.04,32.58,20.0,2029.0,357.0,1497.0,353.0,4.0089,False,False,False,True
-118.2,33.98,38.0,867.0,243.0,950.0,235.0,1.8929,False,False,False,False
-117.92,34.03,32.0,1819.0,375.0,1728.0,375.0,3.975,False,False,False,False
-121.98,37.36,35.0,1440.0,267.0,743.0,259.0,5.0866,False,False,False,False
-117.91,33.82,32.0,1408.0,307.0,1331.0,284.0,3.7014,False,False,False,False
-118.11,33.86,36.0,2750.0,487.0,1386.0,458.0,4.9904,False,False,False,False
-118.53,34.21,18.0,3124.0,796.0,1855.0,725.0,2.9389,False,False,False,False
-118.23,34.2,48.0,1473.0,294.0,807.0,296.0,3.399,False,False,False,False
-117.98,33.77,22.0,3236.0,673.0,2034.0,662.0,4.0955,False,False,False,False
-121.72,38.54,16.0,2790.0,624.0,1386.0,636.0,3.1908,True,False,False,False
-118.41,34.21,35.0,2215.0,459.0,1594.0,446.0,4.0167,False,False,False,False
-122.44,37.72,52.0,1507.0,282.0,929.0,281.0,3.8958,False,False,True,False
-120.57,38.2,13.0,4110.0,847.0,1796.0,706.0,2.6417,True,False,False,False
-118.38,34.09,24.0,8264.0,2437.0,3148.0,2274.0,3.5659,False,False,False,False
-122.02,37.63,6.0,2445.0,590.0,1189.0,573.0,3.8958,False,False,True,False
-118.25,34.0,32.0,1218.0,342.0,1292.0,304.0,1.5781,False,False,False,False
-121.92,40.52,13.0,4581.0,881.0,1799.0,734.0,2.2993,True,False,False,False
-118.11,33.83,36.0,1820.0,313.0,899.0,295.0,4.918,False,False,False,False
-117.84,33.8,34.0,2004.0,331.0,843.0,328.0,3.59,False,False,False,False
-121.11,38.91,24.0,2558.0,423.0,1149.0,403.0,4.0679,True,False,False,False
-122.42,37.62,40.0,1545.0,264.0,756.0,282.0,4.4643,False,False,False,True
-121.84,37.24,18.0,3574.0,504.0,1803.0,536.0,6.7836,False,False,False,False
-119.86,34.41,24.0,1576.0,580.0,1630.0,531.0,1.24,False,False,False,True
-120.34,38.23,10.0,3757.0,722.0,546.0,223.0,3.75,True,False,False,False
-120.66,35.29,23.0,1932.0,487.0,1380.0,472.0,1.9647,False,False,False,True
-121.97,38.34,16.0,2331.0,450.0,1074.0,400.0,4.0329,True,False,False,False
-120.06,36.96,44.0,1288.0,295.0,723.0,287.0,1.6534,True,False,False,False
-118.08,34.04,20.0,5841.0,1146.0,3273.0,1131.0,4.7222,False,False,False,False
-122.35,37.96,32.0,1991.0,504.0,1139.0,423.0,2.0353,False,False,True,False
-122.15,37.73,45.0,3758.0,819.0,1573.0,736.0,2.8355,False,False,True,False
-118.46,34.31,24.0,2920.0,601.0,1460.0,598.0,4.2708,False,False,False,False
-117.64,33.45,26.0,1528.0,1088.0,607.0,218.0,6.2871,False,False,False,True
-118.49,34.25,33.0,2088.0,383.0,960.0,362.0,4.3333,False,False,False,False
-118.49,34.02,28.0,1394.0,582.0,716.0,543.0,1.5132,False,False,False,False
-118.46,34.03,52.0,523.0,283.0,317.0,130.0,2.2794,False,False,False,False
-118.28,33.96,34.0,2074.0,562.0,1913.0,514.0,1.6156,False,False,False,False
-122.59,38.12,25.0,7784.0,1145.0,3445.0,1166.0,6.0132,False,False,False,False
-118.23,33.89,16.0,5003.0,1180.0,4145.0,1159.0,2.1389,False,False,False,False
-121.39,38.64,33.0,1503.0,282.0,652.0,229.0,3.6937,True,False,False,False
-118.13,34.05,35.0,3229.0,616.0,1879.0,595.0,3.9531,False,False,False,False
-122.52,37.9,16.0,1704.0,402.0,689.0,348.0,4.4239,False,False,True,False
-118.93,34.82,8.0,508.0,111.0,229.0,84.0,4.0332,True,False,False,False
-118.25,34.08,44.0,1425.0,438.0,1121.0,374.0,2.1108,False,False,False,False
-121.24,38.63,4.0,11021.0,1565.0,3857.0,1494.0,7.2582,True,False,False,False
-121.48,38.57,52.0,567.0,193.0,272.0,187.0,1.625,True,False,False,False
-117.09,32.63,27.0,2920.0,770.0,1935.0,746.0,2.4148,False,False,False,True
-118.41,34.04,52.0,1907.0,261.0,681.0,249.0,10.9805,False,False,False,False
-118.29,33.96,39.0,1340.0,409.0,1463.0,367.0,1.5294,False,False,False,False
-121.02,36.24,12.0,2198.0,507.0,1971.0,502.0,2.6801,False,False,False,False
